urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.12	urn:cite2:fufolio:greekmorph.2026a:20260614T0410591981
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.12	urn:cite2:fufolio:greekmorph.2026a:20260614T0410591982
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.13	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400362
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.13	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400363
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.13	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400364
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.14	urn:cite2:fufolio:greekmorph.2026a:20260615T0233057761
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.14	urn:cite2:fufolio:greekmorph.2026a:20260615T0233057762
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409053
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.3	urn:cite2:fufolio:greekmorph.2026a:20260611T1253487503
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.3	urn:cite2:fufolio:greekmorph.2026a:20260611T1253487504
urn:cts:greekLit:tlg0031.tlg003.wh:1.14.token.3	urn:cite2:fufolio:greekmorph.2026a:20260611T1253487505
