ἐπειδή	e)peidh/	ἐπεί	e)pei/	urn:cite2:hmt:lsj.chicago_md:n38466	c--------
ἐπεκπιών	e)pekpiw/n	ἐπεκπίνω	e)pekpi/nw	urn:cite2:hmt:lsj.chicago_md:n38569	v-sapamn-
ἐπεί	e)pei/	ἐπεί	e)pei/	urn:cite2:hmt:lsj.chicago_md:n38466	c--------
ἐπηχεῖ	e)phxei=	ἐπηχέω	e)phxe/w	urn:cite2:hmt:lsj.chicago_md:n38858	v2spie---
ἐπηχεῖ	e)phxei=	ἐπηχέω	e)phxe/w	urn:cite2:hmt:lsj.chicago_md:n38858	v3spia---
ἐπηχεῖ	e)phxei=	ἐπηχέω	e)phxe/w	urn:cite2:hmt:lsj.chicago_md:n38858	v2spie---
ἐπηχεῖ	e)phxei=	ἐπηχέω	e)phxe/w	urn:cite2:hmt:lsj.chicago_md:n38858	v3spia---
ἐπιθείς	e)piqei/s	ἐπιτίθημι	e)piti/qhmi	urn:cite2:hmt:lsj.chicago_md:n41357	v-sapamn-
ἐπιθείς	e)piqei/s	ἐπιτίθημι	e)piti/qhmi	urn:cite2:hmt:lsj.chicago_md:n41357	v-sapamv-
ἐπλεύσατ’	e)pleu/sat'	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v3saim---
ἐπλεύσατ’	e)pleu/sat'	πλέω	ple/w	urn:cite2:hmt:lsj.chicago_md:n83754	v2paia---
ἐπέζεσεν	e)pe/zesen	ἐπιζέω	e)pize/w	urn:cite2:hmt:lsj.chicago_md:n39368	v3saia---
ἐπέρσαμεν	e)pe/rsamen	πέρθω	pe/rqw	urn:cite2:hmt:lsj.chicago_md:n81016	v1paia---
ἐπήλυγα	e)ph/luga	ἐπῆλυξ	e)ph=luc	urn:cite2:hmt:lsj.chicago_md:n38818	n-s---ma-
ἐπήλυγα	e)ph/luga	ἐπῆλυξ	e)ph=luc	urn:cite2:hmt:lsj.chicago_md:n38818	n-s---fa-
ἐπί	e)pi/	ἐπί	e)pi/	urn:cite2:hmt:lsj.chicago_md:n38862	r--------
