Αἰακιδᾶν	*ai)akida=n	Αἰακίδης	*ai)aki/dhs	n-p---mg-
κάτοισθ’	ka/toisq'	καθίημι	kaqi/hmi	v2paom---
κάτω	ka/tw	κάτος	ka/tos	n-d---mn-
κάτω	ka/tw	κάτος	ka/tos	n-d---mv-
κάτω	ka/tw	κάτος	ka/tos	n-d---ma-
κάτω	ka/tw	κάτος	ka/tos	n-d---fn-
κάτω	ka/tw	κάτος	ka/tos	n-d---fv-
κάτω	ka/tw	κάτος	ka/tos	n-d---fa-
κάτω	ka/tw	κάτος	ka/tos	n-d---nn-
κάτω	ka/tw	κάτος	ka/tos	n-d---nv-
κάτω	ka/tw	κάτος	ka/tos	n-d---na-
κάτω	ka/tw	κάτος	ka/tos	n-s---mg-
κάτω	ka/tw	κάτος	ka/tos	n-s---fg-
κάτω	ka/tw	κάτος	ka/tos	n-s---ng-
κάτω	ka/tw	κάτω	ka/tw	d--------
κάτω	ka/tw	κατόω	kato/w	v2spma---
κάτω	ka/tw	κατόω	kato/w	v3siia---
κέαρ	ke/ar	κῆρ	kh=r	n-s---nv-
κέαρ	ke/ar	κῆρ	kh=r	n-s---na-
κέαρ	ke/ar	κῆρ	kh=r	n-s---nn-
κέκραγας	ke/kragas	κράζω	kra/zw	v2sria---
κέλευθον	ke/leuqon	κέλευθος	ke/leuqos	n-s---fa-
κέρδεσιν	ke/rdesin	κέρδος	ke/rdos	n-p---nd-
κέρδιστον	ke/rdiston	κερδίων	kerdi/wn	a-s---ma-
κέρδιστον	ke/rdiston	κερδίων	kerdi/wn	a-s---nn-
κέρδιστον	ke/rdiston	κερδίων	kerdi/wn	a-s---nv-
κέρδιστον	ke/rdiston	κερδίων	kerdi/wn	a-s---na-
κήρυκας	kh/rukas	κῆρυξ	kh=ruc	n-p---ma-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---nn-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---nv-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---na-
κίναδος	ki/nados	κίναδος	ki/nados	n-s---mn-
κίονι	ki/oni	κίων	ki/wn	n-s---md-
κίονι	ki/oni	κίων	ki/wn	n-s---fd-
κίον’	ki/on'	κίων	ki/wn	n-s---ma-
κίον’	ki/on'	κίων	ki/wn	n-s---fa-
κίον’	ki/on'	κίων	ki/wn	n-s---md-
κίον’	ki/on'	κίων	ki/wn	n-s---fd-
κίον’	ki/on'	κίων	ki/wn	n-d---mn-
κίον’	ki/on'	κίων	ki/wn	n-d---mv-
κίον’	ki/on'	κίων	ki/wn	n-d---ma-
κίον’	ki/on'	κίων	ki/wn	n-d---fn-
κίον’	ki/on'	κίων	ki/wn	n-d---fv-
κίον’	ki/on'	κίων	ki/wn	n-d---fa-
κίχω	ki/xw	κιχάνω	kixa/nw	v1sasa---
κίχωσι	ki/xwsi	κιχάνω	kixa/nw	v3pasa---
κόλαζ’	ko/laz'	κολάζω	kola/zw	v2spma---
κόλαζ’	ko/laz'	κολάζω	kola/zw	v3siia---
κόμας	ko/mas	κόμη	ko/mh	n-p---fa-
κόμας	ko/mas	κόμη	ko/mh	n-s---fg-
κόμας	ko/mas	κομάω	koma/w	v2siia---
κόμην	ko/mhn	κόμη	ko/mh	n-s---fa-
κόμην	ko/mhn	κομάω	koma/w	v3piia---
κόμην	ko/mhn	κομάω	koma/w	v1siia---
