urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404169
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404170
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404171
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404172
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430139
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430142
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312533897
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312533898
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312533899
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1003.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260611T01550615246
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010111
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312447775
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460931
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460932
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460933
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460934
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460935
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460936
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124460937
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124413308
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124413309
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312449686
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312449687
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312449688
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312449689
