Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---mn-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---mv-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---fn-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---fv-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---ma-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fa-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---nn-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---nv-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---na-
Λάμαχος	*la/maxos	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---mn-
Λάμαχος	*la/maxos	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fn-
Λάμαχός	*la/maxo/s	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---mn-
Λάμαχός	*la/maxo/s	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fn-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---nn-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---nv-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-p---na-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---mv-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	urn:cite2:hmt:lsj.chicago_md:n61790	n-s---fv-
Μαραθωνομάχαι	*maraqwnoma/xai	Μαραθωνομάχης	*maraqwnoma/xhs	urn:cite2:hmt:lsj.chicago_md:n64986	n-p---mn-
Μαραθωνομάχαι	*maraqwnoma/xai	Μαραθωνομάχης	*maraqwnoma/xhs	urn:cite2:hmt:lsj.chicago_md:n64986	n-p---mv-
Μαραθωνομάχαι	*maraqwnoma/xai	Μαραθωνομάχης	*maraqwnoma/xhs	urn:cite2:hmt:lsj.chicago_md:n64986	n-s---md-
Μαραθῶνι	*maraqw=ni	Μαραθών	*maraqw/n	urn:cite2:hmt:lsj.chicago_md:n64985	n-s---md-
Μεγαρεῦσι	*megareu=si	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---md-
