Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	urn:cite2:hmt:lsj.chicago_md:n2177	n-s---fg-
ἄσκευον	a)/skeuon	ἄσκευος	a)/skeuos	urn:cite2:hmt:lsj.chicago_md:n16263	n-s---nn-
ἄσκευον	a)/skeuon	ἄσκευος	a)/skeuos	urn:cite2:hmt:lsj.chicago_md:n16263	n-s---nv-
ἄσκευον	a)/skeuon	ἄσκευος	a)/skeuos	urn:cite2:hmt:lsj.chicago_md:n16263	n-s---na-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---mn-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---mn-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---mv-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---mv-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---fn-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---fn-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---fv-
ἄσκοποι	a)/skopoi	ἄσκοποσ1	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---fv-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---mn-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---mn-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---mv-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---mv-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---fn-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---fn-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16297	n-p---fv-
ἄσκοποι	a)/skopoi	ἄσκοποσ2	a)/skopos	urn:cite2:hmt:lsj.chicago_md:n16298	n-p---fv-
ἄστροφος	a)/strofos	ἄστροφος	a)/strofos	urn:cite2:hmt:lsj.chicago_md:n16679	n-s---mn-
ἄστροφος	a)/strofos	ἄστροφος	a)/strofos	urn:cite2:hmt:lsj.chicago_md:n16679	n-s---fn-
ἄστυ	a)/stu	ἄστυ	a)/stu	urn:cite2:hmt:lsj.chicago_md:n16686	n-s---nn-
ἄστυ	a)/stu	ἄστυ	a)/stu	urn:cite2:hmt:lsj.chicago_md:n16686	n-s---nv-
ἄστυ	a)/stu	ἄστυ	a)/stu	urn:cite2:hmt:lsj.chicago_md:n16686	n-s---na-
ἄτα	a)/ta	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-d---fn-
ἄτα	a)/ta	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-d---fv-
ἄτα	a)/ta	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-d---fa-
ἄτα	a)/ta	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-s---fn-
ἄτα	a)/ta	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-s---fv-
ἄτα	a)/ta	ἆτος	a)=tos	urn:cite2:hmt:lsj.chicago_md:n17158	n-p---nn-
ἄτα	a)/ta	ἆτος	a)=tos	urn:cite2:hmt:lsj.chicago_md:n17158	n-p---nv-
ἄτα	a)/ta	ἆτος	a)=tos	urn:cite2:hmt:lsj.chicago_md:n17158	n-p---na-
ἄτας	a)/tas	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-p---fa-
ἄτας	a)/tas	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-s---fg-
ἄταφος	a)/tafos	ἄταφος	a)/tafos	urn:cite2:hmt:lsj.chicago_md:n16984	n-s---mn-
ἄταφος	a)/tafos	ἄταφος	a)/tafos	urn:cite2:hmt:lsj.chicago_md:n16984	n-s---fn-
ἄτην	a)/thn	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-s---fa-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---ma-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---fa-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---nn-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---nv-
ἄτιμον	a)/timon	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---na-
ἄτιμος	a)/timos	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---mn-
ἄτιμος	a)/timos	ἄτιμος	a)/timos	urn:cite2:hmt:lsj.chicago_md:n17088	n-s---fn-
ἄτρωτον	a)/trwton	ἄτρωτος	a)/trwtos	urn:cite2:hmt:lsj.chicago_md:n17244	n-s---ma-
ἄτρωτον	a)/trwton	ἄτρωτος	a)/trwtos	urn:cite2:hmt:lsj.chicago_md:n17244	n-s---fa-
ἄτρωτον	a)/trwton	ἄτρωτος	a)/trwtos	urn:cite2:hmt:lsj.chicago_md:n17244	n-s---nn-
ἄτρωτον	a)/trwton	ἄτρωτος	a)/trwtos	urn:cite2:hmt:lsj.chicago_md:n17244	n-s---nv-
ἄτρωτον	a)/trwton	ἄτρωτος	a)/trwtos	urn:cite2:hmt:lsj.chicago_md:n17244	n-s---na-
ἄτᾳ	a)/ta|	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-s---fd-
ἄφατος	a)/fatos	ἄφατος	a)/fatos	urn:cite2:hmt:lsj.chicago_md:n18166	n-s---mn-
ἄφατος	a)/fatos	ἄφατος	a)/fatos	urn:cite2:hmt:lsj.chicago_md:n18166	n-s---fn-
ἄφιλον	a)/filon	ἄφιλος	a)/filos	urn:cite2:hmt:lsj.chicago_md:n18367	n-s---ma-
ἄφιλον	a)/filon	ἄφιλος	a)/filos	urn:cite2:hmt:lsj.chicago_md:n18367	n-s---fa-
ἄφιλον	a)/filon	ἄφιλος	a)/filos	urn:cite2:hmt:lsj.chicago_md:n18367	n-s---nn-
ἄφιλον	a)/filon	ἄφιλος	a)/filos	urn:cite2:hmt:lsj.chicago_md:n18367	n-s---nv-
ἄφιλον	a)/filon	ἄφιλος	a)/filos	urn:cite2:hmt:lsj.chicago_md:n18367	n-s---na-
ἄφοβον	a)/fobon	ἄφοβος	a)/fobos	urn:cite2:hmt:lsj.chicago_md:n18417	n-s---ma-
ἄφοβον	a)/fobon	ἄφοβος	a)/fobos	urn:cite2:hmt:lsj.chicago_md:n18417	n-s---fa-
ἄφοβον	a)/fobon	ἄφοβος	a)/fobos	urn:cite2:hmt:lsj.chicago_md:n18417	n-s---nn-
ἄφοβον	a)/fobon	ἄφοβος	a)/fobos	urn:cite2:hmt:lsj.chicago_md:n18417	n-s---nv-
ἄφοβον	a)/fobon	ἄφοβος	a)/fobos	urn:cite2:hmt:lsj.chicago_md:n18417	n-s---na-
ἄφορμος	a)/formos	ἄφορμος	a)/formos	urn:cite2:hmt:lsj.chicago_md:n18464	n-s---mn-
ἄφορμος	a)/formos	ἄφορμος	a)/formos	urn:cite2:hmt:lsj.chicago_md:n18464	n-s---fn-
ἄφωνον	a)/fwnon	ἄφωνος	a)/fwnos	urn:cite2:hmt:lsj.chicago_md:n18610	n-s---ma-
ἄφωνον	a)/fwnon	ἄφωνος	a)/fwnos	urn:cite2:hmt:lsj.chicago_md:n18610	n-s---fa-
ἄφωνον	a)/fwnon	ἄφωνος	a)/fwnos	urn:cite2:hmt:lsj.chicago_md:n18610	n-s---nn-
ἄφωνον	a)/fwnon	ἄφωνος	a)/fwnos	urn:cite2:hmt:lsj.chicago_md:n18610	n-s---nv-
ἄφωνον	a)/fwnon	ἄφωνος	a)/fwnos	urn:cite2:hmt:lsj.chicago_md:n18610	n-s---na-
ἄχνας	a)/xnas	ἄχνη	a)/xnh	urn:cite2:hmt:lsj.chicago_md:n18734	n-p---fa-
ἄχνας	a)/xnas	ἄχνη	a)/xnh	urn:cite2:hmt:lsj.chicago_md:n18734	n-s---fg-
ἄχορος	a)/xoros	ἄχορος	a)/xoros	urn:cite2:hmt:lsj.chicago_md:n18751	n-s---mn-
ἄχορος	a)/xoros	ἄχορος	a)/xoros	urn:cite2:hmt:lsj.chicago_md:n18751	n-s---fn-
ἄχορος	a)/xoros	ἄχωρ	a)/xwr	urn:cite2:hmt:lsj.chicago_md:n18839	n-s---mg-
ἄχος	a)/xos	ἄχος	a)/xos	urn:cite2:hmt:lsj.chicago_md:n18753	n-s---nn-
ἄχος	a)/xos	ἄχος	a)/xos	urn:cite2:hmt:lsj.chicago_md:n18753	n-s---nv-
ἄχος	a)/xos	ἄχος	a)/xos	urn:cite2:hmt:lsj.chicago_md:n18753	n-s---na-
ἄχους	a)/xous	ἄχος	a)/xos	urn:cite2:hmt:lsj.chicago_md:n18753	n-s---ng-
ἄϊδρις	a)/i+dris	ἄιδρις	a)/idris	urn:cite2:hmt:lsj.chicago_md:n2264	n-s---mn-
ἄϊδρις	a)/i+dris	ἄιδρις	a)/idris	urn:cite2:hmt:lsj.chicago_md:n2264	n-s---fn-
ἄϊσσ’	a)/i+ss'	ἀίσσω	a)i/ssw	urn:cite2:hmt:lsj.chicago_md:n2685	v3siia---
ἄϊσσ’	a)/i+ss'	ἀίσσω	a)i/ssw	urn:cite2:hmt:lsj.chicago_md:n2685	v2spma---
ἄϊσσ’	a)/i+ss'	ἀίσσω	a)i/ssw	urn:cite2:hmt:lsj.chicago_md:n2685	v3siia---
ἄϊσσ’	a)/i+ss'	ἀίσσω	a)i/ssw	urn:cite2:hmt:lsj.chicago_md:n2685	v2spma---
ἄϊσσ’	a)/i+ss'	ἀίσσω	a)i/ssw	urn:cite2:hmt:lsj.chicago_md:n2685	v3siia---
ἄϊσσ’	a)/i+ss'	ἀίσσω	a)i/ssw	urn:cite2:hmt:lsj.chicago_md:n2685	v3siia---
ἄϋπνοι	a)/u+pnoi	ἄυπνος	a)/upnos	urn:cite2:hmt:lsj.chicago_md:n17516	n-p---mn-
ἄϋπνοι	a)/u+pnoi	ἄυπνος	a)/upnos	urn:cite2:hmt:lsj.chicago_md:n17516	n-p---mv-
ἄϋπνοι	a)/u+pnoi	ἄυπνος	a)/upnos	urn:cite2:hmt:lsj.chicago_md:n17516	n-p---fn-
ἄϋπνοι	a)/u+pnoi	ἄυπνος	a)/upnos	urn:cite2:hmt:lsj.chicago_md:n17516	n-p---fv-
ἅ	a(/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fn-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-p---na-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-p---na-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-p---nn-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-p---nn-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-d---fa-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-d---fa-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-d---fn-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-d---fn-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-s---fn-
ἅ	a(/	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-s---fn-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-pppann-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-pppanv-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-pppana-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-sppama-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-sppamd-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-sppand-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v3piie---
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-dppamn-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-dppamv-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-dppama-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-dppann-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-dppanv-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v-dppana-
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v3ppie---
ἅζονθ’	a(/zonq'	ἅζομαι	a(/zomai	urn:cite2:hmt:lsj.chicago_md:n1829	v3piie---
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---na-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---na-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---na-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	n-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	n-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	n-s---ma-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	n-s---fa-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	n-s---fa-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	n-s---fa-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	n-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	n-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	n-s---nn-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	n-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	n-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	n-s---nv-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	n-s---na-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	n-s---na-
ἅλιον	a(/lion	ἅλιοσ1	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	n-s---na-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---ma-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---nn-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---nv-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4235	a-s---na-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4236	a-s---na-
ἅλιον	a(/lion	ἅλιοσ2	a(/lios	urn:cite2:hmt:lsj.chicago_md:n4237	a-s---na-
ἅλιον	a(/lion	ἥλιος	h(/lios	urn:cite2:hmt:lsj.chicago_md:n46892	n-s---ma-
ἅλις	a(/lis	ἅλις	a(/lis	urn:cite2:hmt:lsj.chicago_md:n4268	d--------
ἅμα	a(/ma	ἅμα	a(/ma	urn:cite2:hmt:lsj.chicago_md:n4845	d--------
ἅν	a(/n	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-s---fa-
ἅν	a(/n	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-s---fa-
ἅπαθες	a(/paqes	πάσχω	pa/sxw	urn:cite2:hmt:lsj.chicago_md:n79983	v2saia---
ἅπαθον	a(/paqon	πάσχω	pa/sxw	urn:cite2:hmt:lsj.chicago_md:n79983	v3paia---
ἅπαθον	a(/paqon	πάσχω	pa/sxw	urn:cite2:hmt:lsj.chicago_md:n79983	v1saia---
ἅπαν	a(/pan	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-s---nn-
ἅπαν	a(/pan	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-s---nv-
ἅπαν	a(/pan	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-s---na-
ἅπαντα	a(/panta	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-p---nn-
ἅπαντα	a(/panta	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-p---nv-
ἅπαντα	a(/panta	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-p---na-
ἅπαντα	a(/panta	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-s---ma-
ἅπαντος	a(/pantos	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-s---mg-
ἅπαντος	a(/pantos	ἅπας	a(/pas	urn:cite2:hmt:lsj.chicago_md:n11583	a-s---ng-
ἅπαξ	a(/pac	ἅπαξ	a(/pac	urn:cite2:hmt:lsj.chicago_md:n11433	d--------
ἅπερ	a(/per	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---fn-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-p---na-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-p---na-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-p---nn-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-p---nn-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-d---fa-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-d---fa-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-d---fn-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-d---fn-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-s---fn-
ἅπερ	a(/per	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-s---fn-
ἅπτεται	a(/ptetai	ἅπτω	a(/ptw	urn:cite2:hmt:lsj.chicago_md:n14568	v3spie---
ἅρμοσαι	a(/rmosai	ἁρμόζω	a(rmo/zw	urn:cite2:hmt:lsj.chicago_md:n15274	v2srie---
ἅρμοσαι	a(/rmosai	ἁρμόζω	a(rmo/zw	urn:cite2:hmt:lsj.chicago_md:n15274	v2samm---
ἅς	a(/s	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-p---fa-
ἅς	a(/s	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-p---fa-
ἅχω	a(/xw	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v1spsa---
ἅχω	a(/xw	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v1spsa---
ἅχω	a(/xw	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45996	v1spia---
ἅχω	a(/xw	ἔχω	e)/xw	urn:cite2:hmt:lsj.chicago_md:n45997	v1spia---
ἅχω	a(/xw	χόω	xo/w	urn:cite2:hmt:lsj.chicago_md:n114536	v3siia---
ἅψομαι	a(/yomai	ἅπτω	a(/ptw	urn:cite2:hmt:lsj.chicago_md:n14568	v1sasm---
ἅψομαι	a(/yomai	ἅπτω	a(/ptw	urn:cite2:hmt:lsj.chicago_md:n14568	v1sfim---
ἅψομαι	a(/yomai	ἅπτω	a(/ptw	urn:cite2:hmt:lsj.chicago_md:n14568	v1stie---
ἆκον	a)=kon	ἀέκων	a)e/kwn	urn:cite2:hmt:lsj.chicago_md:n1666	a-s---mv-
ἆκον	a)=kon	ἀέκων	a)e/kwn	urn:cite2:hmt:lsj.chicago_md:n1666	a-s---nn-
ἆκον	a)=kon	ἀέκων	a)e/kwn	urn:cite2:hmt:lsj.chicago_md:n1666	a-s---nv-
ἆκον	a)=kon	ἀέκων	a)e/kwn	urn:cite2:hmt:lsj.chicago_md:n1666	a-s---na-
ἆμαρ	a)=mar	ἦμαρ	h)=mar	urn:cite2:hmt:lsj.chicago_md:n46956	n-s---nn-
ἆμαρ	a)=mar	ἦμαρ	h)=mar	urn:cite2:hmt:lsj.chicago_md:n46956	n-s---nv-
ἆμαρ	a)=mar	ἦμαρ	h)=mar	urn:cite2:hmt:lsj.chicago_md:n46956	n-s---na-
ἆρα	a)=ra	ἆρα	a)=ra	urn:cite2:hmt:lsj.chicago_md:n14640	x--------
ἆρα	a)=ra	αἴρω	ai)/rw	urn:cite2:hmt:lsj.chicago_md:n2660	v1saia---
ἆρα	a)=ra	αἴρω	ai)/rw	urn:cite2:hmt:lsj.chicago_md:n2660	v1saia---
ἆσσον	a)=sson	ἆσσον	a)=sson	urn:cite2:hmt:lsj.chicago_md:n16429	d--------
ἆται	a)=tai	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-p---fn-
ἆται	a)=tai	ἄτη	a)/th	urn:cite2:hmt:lsj.chicago_md:n17054	n-p---fv-
ἇς	a(=s	ἕως	e(/ws	urn:cite2:hmt:lsj.chicago_md:n46043	c--------
ἇς	a(=s	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75512	p-s---fg-
ἇς	a(=s	ὅς	o(/s	urn:cite2:hmt:lsj.chicago_md:n75513	p-s---fg-
Ἀθηνῶν	*)aqhnw=n	Ἀθῆναι	*)aqh=nai	urn:cite2:hmt:lsj.chicago_md:n1981	n-p---fg-
Ἀθάνα	*)aqa/na	Ἀθήνη	*)aqh/nh	urn:cite2:hmt:lsj.chicago_md:n1989	n-s---fn-
Ἀθάνα	*)aqa/na	Ἀθήνη	*)aqh/nh	urn:cite2:hmt:lsj.chicago_md:n1989	n-s---fv-
Ἀθάναν	*)aqa/nan	Ἀθήνη	*)aqh/nh	urn:cite2:hmt:lsj.chicago_md:n1989	n-s---fa-
Ἀθήνας	*)aqh/nas	Ἀθῆναι	*)aqh=nai	urn:cite2:hmt:lsj.chicago_md:n1981	n-p---fa-
Ἀθήνας	*)aqh/nas	Ἀθῆναι	*)aqh=nai	urn:cite2:hmt:lsj.chicago_md:n1981	n-s---fg-
Ἀθῆναι	*)aqh=nai	Ἀθῆναι	*)aqh=nai	urn:cite2:hmt:lsj.chicago_md:n1981	n-p---fn-
Ἀθῆναι	*)aqh=nai	Ἀθῆναι	*)aqh=nai	urn:cite2:hmt:lsj.chicago_md:n1981	n-p---fv-
Ἀμφιάρεως	*)amfia/rews	Ἀμφιάραος	*)amfia/raos	urn:cite2:hmt:lsj.chicago_md:n5709	n-p---fa-
Ἀμφιάρεως	*)amfia/rews	Ἀμφιάραος	*)amfia/raos	urn:cite2:hmt:lsj.chicago_md:n5709	n-s---fn-
Ἀπίας	*)api/as	ἄπιοσ2	a)/pios	urn:cite2:hmt:lsj.chicago_md:n12126	a-p---fa-
Ἀπίας	*)api/as	ἄπιοσ2	a)/pios	urn:cite2:hmt:lsj.chicago_md:n12127	a-p---fa-
Ἀπίας	*)api/as	ἄπιοσ2	a)/pios	urn:cite2:hmt:lsj.chicago_md:n12126	a-s---fg-
Ἀπίας	*)api/as	ἄπιοσ2	a)/pios	urn:cite2:hmt:lsj.chicago_md:n12127	a-s---fg-
Ἀπίας	*)api/as	ἄπιοσ2	a)/pios	urn:cite2:hmt:lsj.chicago_md:n12126	a-p---fa-
