’	e)\	- no urn found -	ἒ
σωθεῖμεν	sw/zw	- no urn found -	σώζω
σωθεῖσα	sw/zw	- no urn found -	σώζω
σωθεῖσα	sw/zw	- no urn found -	σώζω
σώσειε	sw/zw	- no urn found -	σώζω
σῆς	se/w	- no urn found -	σέω
σῆς	se/w	- no urn found -	σέω
σῳζοίμεθα	sw/zw	- no urn found -	σώζω
σῴζειν	sw/zw	- no urn found -	σώζω
σῶν	se/w	- no urn found -	σέω
σῷζε	sw/zw	- no urn found -	σώζω
σῷζε	sw/zw	- no urn found -	σώζω
ταὐτῷ	tau)ta/zw	- no urn found -	ταὐτάζω
τεθνεῶτος	qnh/skw	- no urn found -	θνήσκω
τεθνεῶτος	qnh/skw	- no urn found -	θνήσκω
τεθνηκέναι	qnh/skw	- no urn found -	θνήσκω
τεθνηκόσιν	qnh/skw	- no urn found -	θνήσκω
τεθνηκόσιν	qnh/skw	- no urn found -	θνήσκω
τεθνηκότα	qnh/skw	- no urn found -	θνήσκω
τεθνηκότα	qnh/skw	- no urn found -	θνήσκω
τεθνηκότα	qnh/skw	- no urn found -	θνήσκω
τεθνηκότα	qnh/skw	- no urn found -	θνήσκω
τεθνηκότος	qnh/skw	- no urn found -	θνήσκω
τεθνηκότος	qnh/skw	- no urn found -	θνήσκω
τεθνάναι	qnh/skw	- no urn found -	θνήσκω
τοιχωρύχοις	toixw/ruxos	- no urn found -	τοιχώρυχος
τοιχωρύχους	toixw/ruxos	- no urn found -	τοιχώρυχος
τοὔργον	e)/rgnumi	- no urn found -	ἔργνυμι
τοὔργον	e)/rgnumi	- no urn found -	ἔργνυμι
τοὔργον	e)/rgnumi	- no urn found -	ἔργνυμι
τοὔργον	e)/rgnumi	- no urn found -	ἔργνυμι
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀμά	h(mo/s	- no urn found -	ἡμός
τἀνταυθοῖ	e)ntauqoi=	- no urn found -	ἐνταυθοῖ
τάχιστα	ta/xistos	- no urn found -	τάχιστος
τάχιστα	ta/xistos	- no urn found -	τάχιστος
τάχιστα	ta/xistos	- no urn found -	τάχιστος
τάχιστ’	ta/xistos	- no urn found -	τάχιστος
τάχιστ’	ta/xistos	- no urn found -	τάχιστος
τάχιστ’	ta/xistos	- no urn found -	τάχιστος
τάχιστ’	ta/xistos	- no urn found -	τάχιστος
τάχιστ’	ta/xistos	- no urn found -	τάχιστος
τάχιστ’	ta/xistos	- no urn found -	τάχιστος
τέθνηκέ	qnh/skw	- no urn found -	θνήσκω
τέθνηκέ	qnh/skw	- no urn found -	θνήσκω
τῇδε	th=|de	- no urn found -	τῇδε
φάρυξ	fa/ruc	- no urn found -	φάρυξ
φάρυξ	fa/ruc	- no urn found -	φάρυξ
χρῆν	xrh=	- no urn found -	χρῆ
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
