urn:cite2:hmt:lsj.chicago_md:n120	ἀβληχρός; weak, feeble; easy; violent
urn:cite2:hmt:lsj.chicago_md:n121	ἀβλοπές
urn:cite2:hmt:lsj.chicago_md:n122	ἀβοαί
urn:cite2:hmt:lsj.chicago_md:n123	ἀβοατί
urn:cite2:hmt:lsj.chicago_md:n124	ἀβοηθησία; helplessness
urn:cite2:hmt:lsj.chicago_md:n125	ἀβοήθητος; admitting of no help, without remedy, incurable; fatal; unserviceable, useless; helpless; unhelpful
urn:cite2:hmt:lsj.chicago_md:n126	ἀβοηθί; without assistance
urn:cite2:hmt:lsj.chicago_md:n127	ἀβοητί; without summons
urn:cite2:hmt:lsj.chicago_md:n128	ἀβόητος; not loudly lamented; not noised abroad
urn:cite2:hmt:lsj.chicago_md:n129	ἀβολαία
urn:cite2:hmt:lsj.chicago_md:n130	ἀβολέω; meet
urn:cite2:hmt:lsj.chicago_md:n131	ἀβολητύς; a meeting
urn:cite2:hmt:lsj.chicago_md:n132	ἀβολήτωρ; one who meets
urn:cite2:hmt:lsj.chicago_md:n133	ἀβόλλα; abolla, thick woollen cloak
urn:cite2:hmt:lsj.chicago_md:n134	ἄβολος; that has not shed his foal-teeth; that no longer sheds them; an unlucky throw
urn:cite2:hmt:lsj.chicago_md:n135	ἀβόρβορος; without filth
urn:cite2:hmt:lsj.chicago_md:n136	Ἀβοριγῖνες; aborigines
urn:cite2:hmt:lsj.chicago_md:n137	ἄβορος; greedy
urn:cite2:hmt:lsj.chicago_md:n138	ἀβοσκής; unfed, fasting
urn:cite2:hmt:lsj.chicago_md:n139	ἀβόσκητος; pastureless
urn:cite2:hmt:lsj.chicago_md:n140	ἄβοστοι
urn:cite2:hmt:lsj.chicago_md:n141	ἄβοτος; without pasture
urn:cite2:hmt:lsj.chicago_md:n142	ἀβουκόλητος; untended; unheeded
urn:cite2:hmt:lsj.chicago_md:n143	ἀβουλεί; inconsiderately
urn:cite2:hmt:lsj.chicago_md:n144	ἀβούλευτος; ill-advised, inconsiderate
urn:cite2:hmt:lsj.chicago_md:n145	ἀβουλέω; to be unwilling; dislike, object to; not to will; without willing
urn:cite2:hmt:lsj.chicago_md:n146	ἀβούλητος; involuntary; not according to oneʼs wish; will
urn:cite2:hmt:lsj.chicago_md:n147	ἀβουλία; ill-advisedness, thoughtlessness; irresolution; indecision
urn:cite2:hmt:lsj.chicago_md:n148	ἄβουλος; inconsiderate, ill-advised; taking no thought; unfeeling
urn:cite2:hmt:lsj.chicago_md:n149	ἀβουσκολεῖ
urn:cite2:hmt:lsj.chicago_md:n150	ἀβούτης; without oxen; poor
urn:cite2:hmt:lsj.chicago_md:n151	ἄβουτον
urn:cite2:hmt:lsj.chicago_md:n152	ἅβρα; favourite slave
urn:cite2:hmt:lsj.chicago_md:n153	ἀβράβεσθαι
urn:cite2:hmt:lsj.chicago_md:n154	ἀβραμίδιον
urn:cite2:hmt:lsj.chicago_md:n155	ἀβραμίς; PLond.ined; mullet; PLond.ined
urn:cite2:hmt:lsj.chicago_md:n156	ἀβραμύας; throw at dice
urn:cite2:hmt:lsj.chicago_md:n157	ἄβραχος; not steeped
urn:cite2:hmt:lsj.chicago_md:n158	ἄβρεκτος
urn:cite2:hmt:lsj.chicago_md:n159	ἀβρεμής
urn:cite2:hmt:lsj.chicago_md:n160	ἁβρίζομαι
urn:cite2:hmt:lsj.chicago_md:n161	ἀβριθής; of no weight
urn:cite2:hmt:lsj.chicago_md:n162	ἄβρικτος; wakeful
urn:cite2:hmt:lsj.chicago_md:n163	ἀβρινά
urn:cite2:hmt:lsj.chicago_md:n164	ἁβροβάτης; softly; delicately stepping
urn:cite2:hmt:lsj.chicago_md:n165	ἁβρόβιος; living delicately, effeminate
urn:cite2:hmt:lsj.chicago_md:n166	ἁβροβόστρυχος
urn:cite2:hmt:lsj.chicago_md:n167	ἁβρόγοος; wailing womanishly
urn:cite2:hmt:lsj.chicago_md:n168	ἁβρόδαις; luxurious
urn:cite2:hmt:lsj.chicago_md:n169	ἁβροδίαιτα; luxurious living
urn:cite2:hmt:lsj.chicago_md:n170	ἁβροδίαιτος; living delicately; effeminacy; luxurious
urn:cite2:hmt:lsj.chicago_md:n171	ἁβροείμων; softly clad
urn:cite2:hmt:lsj.chicago_md:n172	ἁβρόκαρπον
urn:cite2:hmt:lsj.chicago_md:n173	ἁβροκόμης; with luxuriant foliage; with delicate hair
urn:cite2:hmt:lsj.chicago_md:n174	ἀβρομία
urn:cite2:hmt:lsj.chicago_md:n175	ἀβρόμιος; without Bacchus
urn:cite2:hmt:lsj.chicago_md:n176	ἁβρομίτρης; with dainty girdle
urn:cite2:hmt:lsj.chicago_md:n177	ἄβρομος; joining in a shout; noisy; noiseless
urn:cite2:hmt:lsj.chicago_md:n178	ἁβροπάρθενοι; consisting of delicate maidens
urn:cite2:hmt:lsj.chicago_md:n179	ἁβροπέδιλος; soft-sandalled
urn:cite2:hmt:lsj.chicago_md:n180	ἁβροπενθής
urn:cite2:hmt:lsj.chicago_md:n181	ἁβροπέτηλος; with soft leaves
urn:cite2:hmt:lsj.chicago_md:n182	ἁβρόπηνος; of delicate texture
urn:cite2:hmt:lsj.chicago_md:n183	ἁβρόπλουτος; richly luxuriant
urn:cite2:hmt:lsj.chicago_md:n184	ἁβρός; graceful, delicate, pretty; splendid; graceful, pretty; dainty, luxurious; delicately
urn:cite2:hmt:lsj.chicago_md:n185	ἁβροσία
urn:cite2:hmt:lsj.chicago_md:n186	ἁβροσταγής; dropping rich unguents
urn:cite2:hmt:lsj.chicago_md:n187	ἁβροσύνη
urn:cite2:hmt:lsj.chicago_md:n188	ἁβρόσφυρος; with delicate ankles
urn:cite2:hmt:lsj.chicago_md:n189	ἀβροτάζω; miss; error; erring
urn:cite2:hmt:lsj.chicago_md:n190	ἁβρότης; splendour, luxury; of luxury; luxurious; to be fastidious; the freshness of youth; sweetness, charm
urn:cite2:hmt:lsj.chicago_md:n191	ἁβρότιμος; delicate and costly
urn:cite2:hmt:lsj.chicago_md:n192	ἀβροτίνη
urn:cite2:hmt:lsj.chicago_md:n193	ἀβροτόνινος; made of
urn:cite2:hmt:lsj.chicago_md:n194	ἀβροτονίτης; prepared with
