urn:cite2:hmt:lsj.chicago_md:n258	ἀγαθο-ποιία	agaqopoiia
urn:cite2:hmt:lsj.chicago_md:n259	ἀγαθο-ποιός	agaqopoios
urn:cite2:hmt:lsj.chicago_md:n260	ἀγᾰθός	agaqos
urn:cite2:hmt:lsj.chicago_md:n261	ἀγάθοσμον·	agaqosmon
urn:cite2:hmt:lsj.chicago_md:n262	ἀγαθοσύμβουλος	agaqosumboulos
urn:cite2:hmt:lsj.chicago_md:n263	ἀγαθότης	agaqoths
urn:cite2:hmt:lsj.chicago_md:n264	ἀγαθοτυχέω	agaqotuxew
urn:cite2:hmt:lsj.chicago_md:n265	ἀγαθουργέω	agaqourgew
urn:cite2:hmt:lsj.chicago_md:n266	ἀγαθο-φανής	agaqofanhs
urn:cite2:hmt:lsj.chicago_md:n267	ἀγαθο-φόρος	agaqoforos
urn:cite2:hmt:lsj.chicago_md:n268	ἀγαθό-φρων	agaqofrwn
urn:cite2:hmt:lsj.chicago_md:n269	ἀγαθόω	agaqow
urn:cite2:hmt:lsj.chicago_md:n270	ἀγάθ-υνσις	agaqunsis
urn:cite2:hmt:lsj.chicago_md:n271	ἀγαθ-ύνω	agaqunw
urn:cite2:hmt:lsj.chicago_md:n272	ἀγάθωμα	agaqwma
urn:cite2:hmt:lsj.chicago_md:n273	ἀγαθωσύνη	agaqwsunh
urn:cite2:hmt:lsj.chicago_md:n274	ἀγαίομαι	agaiomai
urn:cite2:hmt:lsj.chicago_md:n275	ἀγαῖος	agaios
urn:cite2:hmt:lsj.chicago_md:n276	ἀγαῖος	agaios
urn:cite2:hmt:lsj.chicago_md:n277	ἀγα-κλεής	agaklehs
urn:cite2:hmt:lsj.chicago_md:n278	ἀγα-κλειτός	agakleitos
urn:cite2:hmt:lsj.chicago_md:n279	ἀγα-κλυμένη	agaklumenh
urn:cite2:hmt:lsj.chicago_md:n280	ἀγα-κλυτός	agaklutos
urn:cite2:hmt:lsj.chicago_md:n281	ἀγα-κτῐμένη	agaktimenh
urn:cite2:hmt:lsj.chicago_md:n282	ἀγᾰλακτία	agalaktia
urn:cite2:hmt:lsj.chicago_md:n283	ἀγάλακτος	agalaktos
urn:cite2:hmt:lsj.chicago_md:n284	ἀγάλαξ	agalac
urn:cite2:hmt:lsj.chicago_md:n285	ἀγαλλί-ᾱμα	agalliama
urn:cite2:hmt:lsj.chicago_md:n286	ἀγαλλί-ᾱσις	agalliasis
urn:cite2:hmt:lsj.chicago_md:n287	ἀγαλλι-άω	agalliaw
urn:cite2:hmt:lsj.chicago_md:n291	ἀγαλλίς	agallis
urn:cite2:hmt:lsj.chicago_md:n292	ἀγάλλω	agallw
urn:cite2:hmt:lsj.chicago_md:n293	ἄγαλμα	agalma
urn:cite2:hmt:lsj.chicago_md:n294	ἀγαλμ-ατίας	agalmatias
urn:cite2:hmt:lsj.chicago_md:n295	ἀγαλμ-άτιον	agalmation
urn:cite2:hmt:lsj.chicago_md:n296	ἀγαλμ-ατίτης	agalmatiths
urn:cite2:hmt:lsj.chicago_md:n297	ἀγαλματο-γλύφος	agalmatoglufos
urn:cite2:hmt:lsj.chicago_md:n298	ἀγαλματο-ποιέω	agalmatopoiew
urn:cite2:hmt:lsj.chicago_md:n299	ἀγαλματο-ποιητικός	agalmatopoihtikos
urn:cite2:hmt:lsj.chicago_md:n300	ἀγαλματο-ποιΐα	agalmatopoiia
